contract_group,underlying_asset,traded_contracts_day,traded_contracts_mtd,traded_contracts_ytd,daily_average_mtd,daily_average_ytd,open_interest,fecha,es_total
FUTURES XROLLING FX,EURJPY,0,1,254,0,2,12,2026-06-05,False
FUTURES IBEX 35,,6177,29032,1533448,5806,14199,51952,2026-06-05,False
FUTURES XROLLING FX,EURAUD,0,0,35,0,0,0,2026-06-05,False
FUTURES XROLLING FX,AUDUSD,0,0,17,0,0,1,2026-06-05,False
FUTURES XROLLING FX,EURGBP,0,0,16,0,0,0,2026-06-05,False
FUTURES XROLLING FX TOTAL,,32,43,2283,8,19,2191,2026-06-05,True
OPTIONS STOCK,VIS,0,140,706,28,7,419,2026-06-05,False
OPTIONS STOCK,VID,0,2,174,0,2,67,2026-06-05,False
OPTIONS STOCK,UNI,0,4,355,1,3,316,2026-06-05,False
OPTIONS STOCK,TRE,0,15,1399,3,13,1092,2026-06-05,False
OPTIONS STOCK,TEF,18132,19127,1138301,3825,10540,1600245,2026-06-05,False
OPTIONS STOCK,ROVI,0,6,7169,1,66,5693,2026-06-05,False
FUTURES XROLLING FX,EURUSD,30,39,1357,8,13,2174,2026-06-05,False
OPTIONS STOCK,SAB,150,557,15352,111,142,17058,2026-06-05,False
OPTIONS STOCK,ENC,0,0,37,0,0,27,2026-06-05,False
OPTIONS STOCK,CLNX,4,148,32567,30,302,30139,2026-06-05,False
OPTIONS STOCK,IDR,12,129,38371,26,355,5614,2026-06-05,False
OPTIONS STOCK,MEL,0,5,1818,1,17,3291,2026-06-05,False
OPTIONS STOCK,MRL,10,113,70321,23,651,55024,2026-06-05,False
OPTIONS STOCK,MTS,60,825,4450,165,41,1428,2026-06-05,False
OPTIONS STOCK,NTGY,62,1582,92435,316,856,20329,2026-06-05,False
OPTIONS STOCK,SAN,13435,45369,1287130,9074,11918,1107667,2026-06-05,False
OPTIONS STOCK,PUIG,286,1272,30955,254,287,32765,2026-06-05,False
OPTIONS STOCK,PHM,5,25,584,5,5,297,2026-06-05,False
OPTIONS STOCK,MAP,0,19,3165,4,29,1745,2026-06-05,False
FUTURES INDEX TOTAL,,9254,41351,1926078,8270,17834,59227,2026-06-05,True
FUTURES XROLLING STOCK,ITX,0,0,4000,0,37,0,2026-06-05,False
OPTIONS STOCK,CIE,0,0,166,0,2,160,2026-06-05,False
OPTIONS STOCK,IAG,31,4657,23618,931,219,30651,2026-06-05,False
OPTIONS STOCK,FDR,0,2,994,0,9,943,2026-06-05,False
OPTIONS STOCK,OHLA,0,0,2788,0,26,2121,2026-06-05,False
OPTIONS STOCK,IBE,20037,54450,1761940,10890,16314,1473563,2026-06-05,False
OPTIONS STOCK,GRF,43,330,30419,66,282,21590,2026-06-05,False
OPTIONS STOCK,REP,4221,11005,371963,2201,3444,759328,2026-06-05,False
OPTIONS STOCK,FER,1,6629,55733,1326,516,38513,2026-06-05,False
OPTIONS STOCK,FCC,0,0,280,0,3,2110,2026-06-05,False
OPTIONS STOCK,ENG,5,186,33120,37,307,35127,2026-06-05,False
OPTIONS STOCK,ELE,0,51,7624,10,71,8180,2026-06-05,False
OPTIONS STOCK,EBRO,0,1,47,0,0,29,2026-06-05,False
